epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1447.08,1.18257,5.99223,0.47919,1.0568,1.31646,0.6923,0.81816,0.77241,0.46711,0.40079,0.45455,0.26396,0.08182,1.40878,5.37508,0.49338,0.96545,1.5003,0.000614,0.000614,0.000614
72,1464.79,1.24924,5.71883,0.45024,1.08711,1.3349,0.71473,0.79722,0.75955,0.4565,0.3759,0.40909,0.2343,0.07392,1.43031,5.26372,0.48968,0.97994,1.49791,0.0005942,0.0005942,0.0005942
73,1482.25,1.21349,5.76053,0.45353,1.08423,1.31298,0.72641,0.81818,0.78241,0.47306,0.43894,0.4,0.26751,0.07568,1.43158,5.36583,0.47181,0.97954,1.48625,0.0005744,0.0005744,0.0005744
74,1499.68,1.20987,5.94915,0.46128,1.11177,1.30562,0.68983,0.82897,0.76391,0.45588,0.33713,0.34545,0.22185,0.05742,1.37863,5.50125,0.46888,1.00262,1.46827,0.0005546,0.0005546,0.0005546
75,1517.1,1.21995,6.07826,0.46779,1.08758,1.30706,0.71142,0.83636,0.77594,0.46214,0.40224,0.45455,0.2507,0.07599,1.44365,5.19719,0.46955,0.96124,1.5034,0.0005348,0.0005348,0.0005348
76,1534.22,1.22781,5.89576,0.4686,1.1212,1.30587,0.69587,0.76964,0.75936,0.43383,0.39577,0.45455,0.27085,0.08409,1.49736,5.19511,0.48228,0.99711,1.54678,0.000515,0.000515,0.000515
77,1551.54,1.21452,5.91673,0.46237,1.06267,1.30791,0.76481,0.75455,0.74906,0.44331,0.38436,0.48182,0.25539,0.08539,1.45724,5.16855,0.48951,0.96125,1.5223,0.0004952,0.0004952,0.0004952
78,1568.79,1.17857,5.73008,0.46118,1.03361,1.29645,0.77351,0.74516,0.75366,0.4582,0.42211,0.46364,0.26109,0.08373,1.42908,5.08828,0.48701,0.96013,1.48736,0.0004754,0.0004754,0.0004754
79,1587.66,1.18961,5.74405,0.44707,1.06843,1.30428,0.72906,0.80729,0.77411,0.44638,0.41868,0.45455,0.24699,0.08116,1.42018,5.11148,0.4804,0.95008,1.47181,0.0004556,0.0004556,0.0004556
80,1606.4,1.18205,5.90102,0.46024,1.06929,1.31019,0.76974,0.76364,0.7656,0.45689,0.38246,0.43636,0.22092,0.07478,1.40287,5.15163,0.47803,0.94457,1.45769,0.0004358,0.0004358,0.0004358
81,1624.33,1.16505,5.80136,0.45592,1.02701,1.27749,0.77059,0.78182,0.78493,0.4768,0.42122,0.42727,0.23582,0.07131,1.3588,5.16307,0.47738,0.91168,1.43945,0.000416,0.000416,0.000416
82,1644,1.1875,5.65293,0.45949,1.06191,1.30019,0.80591,0.71721,0.76188,0.47501,0.42887,0.43636,0.25025,0.08597,1.39511,5.05795,0.4798,0.92228,1.47766,0.0003962,0.0003962,0.0003962
83,2096.38,1.15085,5.53235,0.45975,1.01644,1.28327,0.71685,0.79091,0.75699,0.46187,0.39766,0.47273,0.27278,0.08462,1.39213,5.13926,0.47268,0.96553,1.50215,0.0003764,0.0003764,0.0003764
